Player,Country,Date of Birth,Player_ID
Johnny Rep,Netherlands,1951-11-25,NET-REPJOHN-19511125
Rob Rensenbrink,Netherlands,1947-07-03,NET-RENSROB-19470703
Johan Cruyff,Netherlands,1947-04-25,NET-CRUYJOHA-19470425
Eddy Treijtel,Netherlands,1946-05-28,NET-TREIEDDY-19460528
Johan Neeskens,Netherlands,1951-09-15,NET-NEESJOHA-19510915
Harry Vos,Netherlands,1946-09-04,NET-VOSHARR-19460904
Justin Bijlow,Netherlands,1998-01-22,NET-BIJLJUST-19980122
Klaas Ooms,Netherlands,1916-06-09,NET-OOMSKLAA-19160609
Andries Noppert,Netherlands,1994-04-07,NET-NOPPANDR-19940407
Kenneth Taylor,Netherlands,2002-05-16,NET-TAYLKENN-20020516
Noa Lang,Netherlands,1999-06-17,NET-LANGNOA-19990617
Ernie Brandts,Netherlands,1956-02-03,NET-BRANERNI-19560203
Harry Lubse,Netherlands,1951-09-23,NET-LUBSHARR-19510923
Pim Doesburg,Netherlands,1943-10-28,NET-DOESPIM-19431028
Dick Nanninga,Netherlands,1949-01-17,NET-NANNDICK-19490117
Hugo Hovenkamp,Netherlands,1950-10-05,NET-HOVEHUGO-19501005
Johan Boskamp,Netherlands,1948-10-21,NET-BOSKJOHA-19481021
Piet Wildschut,Netherlands,1957-10-25,NET-WILDPIET-19571025
Adrie van Kraay,Netherlands,1953-08-01,NET-KRAAADRI-19530801
Steven Berghuis,Netherlands,1991-12-19,NET-BERGSTEV-19911219
Denzel Dumfries,Netherlands,1996-04-18,NET-DUMFDENZ-19960418
Jan Poortvliet,Netherlands,1955-09-21,NET-POORJAN-19550921
Richard Witschge,Netherlands,1969-09-20,NET-WITSRICH-19690920
Marten de Roon,Netherlands,1991-03-29,NET-ROONMART-19910329
Tyrell Malacia,Netherlands,1999-08-17,NET-MALATYRE-19990817
Vincent Janssen,Netherlands,1994-06-15,NET-JANSVINC-19940615
Wout Weghorst,Netherlands,1992-08-07,NET-WEGHWOUT-19920807
Teun Koopmeiners,Netherlands,1998-02-28,NET-KOOPTEUN-19980228
Frenkie de Jong,Netherlands,1997-05-12,NET-JONGFREN-19970512
Cody Gakpo,Netherlands,1999-05-07,NET-GAKPCODY-19990507
Jeremy Brockie,New Zealand,1987-10-07,NEW-BROCJERE-19871007
Jeremy Christie,New Zealand,1983-05-22,NEW-CHRIJERE-19830522
Leo Bertos,New Zealand,1981-12-20,NEW-BERTLEO-19811220
Kenny Cresswell,New Zealand,1958-06-04,NEW-CRESKENN-19580604
Chris Wood,New Zealand,1991-12-07,NEW-WOODCHRI-19911207
Michael McGlinchey,New Zealand,1987-01-07,NEW-MCGLMICH-19870107
Duncan Cole,New Zealand,1958-07-12,NEW-COLEDUNC-19580712
James Bannatyne,New Zealand,1975-06-30,NEW-BANNJAME-19750630
Glen Moss,New Zealand,1983-01-19,NEW-MOSSGLEN-19830119
Chris Killen,New Zealand,1981-10-08,NEW-KILLCHRI-19811008
Andy Barron,New Zealand,1980-12-24,NEW-BARRANDY-19801224
Tim Brown,New Zealand,1981-03-06,NEW-BROWTIM-19810306
Rory Fallon,New Zealand,1982-03-20,NEW-FALLRORY-19820320
Simon Elliott,New Zealand,1974-06-10,NEW-ELLISIMO-19740610
Ivan Vicelich,New Zealand,1976-09-03,NEW-VICEIVAN-19760903
Tony Lochhead,New Zealand,1982-01-12,NEW-LOCHTONY-19820112
Ben Sigmund,New Zealand,1981-02-03,NEW-SIGMBEN-19810203
Mark Paston,New Zealand,1976-12-13,NEW-PASTMARK-19761213
Dave Mulligan,New Zealand,1982-03-24,NEW-MULLDAVE-19820324
Winston Reid,New Zealand,1988-07-03,NEW-REIDWINS-19880703
Shane Smeltz,New Zealand,1981-09-29,NEW-SMELSHAN-19810929
Keith MacKay,New Zealand,1956-12-08,NEW-MACKKEIT-19561208
Ryan Nelsen,New Zealand,1977-10-18,NEW-NELSRYAN-19771018
Frank van Hattum,New Zealand,1958-11-17,NEW-HATTFRAN-19581117
Grant Turner,New Zealand,1958-10-07,NEW-TURNGRAN-19581007
Andrew Boyens,New Zealand,1983-09-18,NEW-BOYEANDR-19830918
Allan Boath,New Zealand,1958-02-14,NEW-BOATALLA-19580214
Peter Simonsen,New Zealand,1959-04-17,NEW-SIMOPETE-19590417
Billy McClure,New Zealand,1958-01-04,NEW-MCCLBILL-19580104
Barry Pickering,New Zealand,1956-12-12,NEW-PICKBARR-19561212
Richard Wilson,New Zealand,1956-05-08,NEW-WILSRICH-19560508
Glen Adam,New Zealand,1959-05-22,NEW-ADAMGLEN-19590522
Aaron Clapham,New Zealand,1987-01-15,NEW-CLAPAARO-19870115
Adrian Elrick,New Zealand,1949-09-29,NEW-ELRIADRI-19490929
Sam Malcolmson,New Zealand,1948-04-02,NEW-MALCSAM-19480402
Brian Turner,New Zealand,1949-07-31,NEW-TURNBRIA-19490731
Tommy Smith,New Zealand,1990-03-31,NEW-SMITTOMM-19900331
Steve Wooddin,New Zealand,1955-01-16,NEW-WOODSTEV-19550116
Wynton Rufer,New Zealand,1962-12-29,NEW-RUFEWYNT-19621229
John Hill,New Zealand,1950-01-07,NEW-HILLJOHN-19500107
Steve Sumner,New Zealand,1955-04-02,NEW-SUMNSTEV-19550402
Dave Bright,New Zealand,1949-11-29,NEW-BRIGDAVE-19491129
Glenn Dods,New Zealand,1957-07-07,NEW-DODSGLEN-19570707
Ricki Herbert,New Zealand,1961-04-10,NEW-HERBRICK-19610410
Bobby Almond,New Zealand,1951-04-16,NEW-ALMOBOBB-19510416
Efan Ekoku,Nigeria,1967-06-08,NIG-EKOKEFAN-19670608
Chidi Odiah,Nigeria,1983-12-17,NIG-ODIACHID-19831217
Michael Emenalo,Nigeria,1965-07-14,NIG-EMENMICH-19650714
Uche Okafor,Nigeria,1967-08-08,NIG-OKAFUCHE-19670808
Stephen Keshi,Nigeria,1962-01-23,NIG-KESHSTEP-19620123
Benedict Iroha,Nigeria,1969-11-29,NIG-IROHBENE-19691129
Augustine Eguavoen,Nigeria,1965-08-19,NIG-EGUAAUGU-19650819
Benedict Akwuegbu,Nigeria,1974-11-03,NIG-AKWUBENE-19741103
Lukman Haruna,Nigeria,1990-12-04,NIG-HARULUKM-19901204
Victor Obinna,Nigeria,1987-03-25,NIG-OBINVICT-19870325
James Obiorah,Nigeria,1978-08-24,NIG-OBIOJAME-19780824
Yakubu,Nigeria,1982-11-22,NIG-YAKU-19821122
Vincent Enyeama,Nigeria,1982-08-29,NIG-ENYEVINC-19820829
John Utaka,Nigeria,1982-01-08,NIG-UTAKJOHN-19820108
Victor Ikpeba,Nigeria,1973-06-12,NIG-IKPEVICT-19730612
Eric Ejiofor,Nigeria,1979-07-21,NIG-EJIOERIC-19790721
Julius Aghahowa,Nigeria,1982-02-12,NIG-AGHAJULI-19820212
Peter Rufai,Nigeria,1963-08-24,NIG-RUFAPETE-19630824
Efe Sodje,Nigeria,1972-10-05,NIG-SODJEFE-19721005
Justice Christopher,Nigeria,1981-12-24,NIG-CHRIJUST-19811224
Ifeanyi Udeze,Nigeria,1980-07-21,NIG-UDEZIFEA-19800721
Rabiu Afolabi,Nigeria,1980-04-18,NIG-AFOLRABI-19800418
Chinedu Obasi,Nigeria,1986-06-01,NIG-OBASCHIN-19860601
Alloysius Agu,Nigeria,1967-07-12,NIG-AGUALLO-19670712
Ike Shorunmu,Nigeria,1967-10-16,NIG-SHORIKE-19671016
Daniel Amokachi,Nigeria,1972-12-30,NIG-AMOKDANI-19721230
Taye Taiwo,Nigeria,1985-04-16,NIG-TAIWTAYE-19850416
Chidozie Awaziem,Nigeria,1997-01-01,NIG-AWAZCHID-19970101
Wilfred Agbonavbare,Nigeria,1966-10-05,NIG-AGBOWILF-19661005
Tyronne Ebuehi,Nigeria,1995-12-16,NIG-EBUETYRO-19951216
Francis Uzoho,Nigeria,1998-10-28,NIG-UZOHFRAN-19981028
Kalu Uche,Nigeria,1982-11-15,NIG-UCHEKALU-19821115
Peter Odemwingie,Nigeria,1981-07-15,NIG-ODEMPETE-19810715
Femi Opabunmi,Nigeria,1985-03-03,NIG-OPABFEMI-19850303
Ayila Yussuf,Nigeria,1984-11-04,NIG-YUSSAYIL-19841104
Sani Kaita,Nigeria,1986-05-02,NIG-KAITSANI-19860502
Uche Okechukwu,Nigeria,1967-09-27,NIG-OKECUCHE-19670927
Chidi Nwanu,Nigeria,1967-01-01,NIG-NWANCHID-19670101
Finidi George,Nigeria,1971-04-15,NIG-GEORFINI-19710415
Thompson Oliha,Nigeria,1968-10-04,NIG-OLIHTHOM-19681004
Rashidi Yekini,Nigeria,1963-10-23,NIG-YEKIRASH-19631023
Austin Ejide,Nigeria,1984-04-08,NIG-EJIDAUST-19840408
Emmanuel Amunike,Nigeria,1970-12-25,NIG-AMUNEMMA-19701225
Bartholomew Ogbeche,Nigeria,1984-10-01,NIG-OGBEBART-19841001
Pius Ikedia,Nigeria,1980-07-11,NIG-IKEDPIUS-19800711
Isaac Okoronkwo,Nigeria,1978-05-01,NIG-OKORISAA-19780501
Joseph Yobo,Nigeria,1980-09-06,NIG-YOBOJOSE-19800906
Samson Siasia,Nigeria,1967-08-14,NIG-SIASSAMS-19670814
Emeka Ezeugo,Nigeria,1965-12-16,NIG-EZEUEMEK-19651216
Sunday Oliseh,Nigeria,1974-09-14,NIG-OLISSUND-19740914
Jay-Jay Okocha,Nigeria,1973-08-14,NIG-OKOCJAY--19730814
Dickson Etuhu,Nigeria,1982-06-08,NIG-ETUHDICK-19820608
Dele Adeleye,Nigeria,1988-12-25,NIG-ADELDELE-19881225
Abiodun Baruwa,Nigeria,1974-11-16,NIG-BARUABIO-19741116
Ikechukwu Ezenwa,Nigeria,1988-10-16,NIG-EZENIKEC-19881016
Alex Iwobi,Nigeria,1996-05-03,NIG-IWOBALEX-19960503
Ramon Azeez,Nigeria,1992-12-12,NIG-AZEERAMO-19921212
Chigozie Agbim,Nigeria,1984-11-28,NIG-AGBICHIG-19841128
Kenneth Omeruo,Nigeria,1993-10-17,NIG-OMERKENN-19931017
Daniel Akpeyi,Nigeria,1986-03-08,NIG-AKPEDANI-19860308
Michael Uchebo,Nigeria,1990-02-02,NIG-UCHEMICH-19900202
Elderson Echiejile,Nigeria,1988-01-20,NIG-ECHIELDE-19880120
Michael Babatunde,Nigeria,1992-12-24,NIG-BABAMICH-19921224
Nwankwo Kanu,Nigeria,1976-08-01,NIG-KANUNWAN-19760801
Ogenyi Onazi,Nigeria,1992-12-25,NIG-ONAZOGEN-19921225
Joel Obi,Nigeria,1991-05-22,NIG-OBIJOEL-19910522
Kelechi Iheanacho,Nigeria,1996-03-10,NIG-IHEAKELE-19960310
Simeon Nwankwo,Nigeria,1992-05-07,NIG-NWANSIME-19920507
Shehu Abdullahi,Nigeria,1993-03-12,NIG-ABDUSHEH-19930312
Odion Ighalo,Nigeria,1989-06-16,NIG-IGHAODIO-19890616
Godfrey Oboabona,Nigeria,1990-08-16,NIG-OBOAGODF-19900816
Juwon Oshaniwa,Nigeria,1990-09-14,NIG-OSHAJUWO-19900914
Kunle Odunlami,Nigeria,1991-04-30,NIG-ODUNKUNL-19910430
Victor Moses,Nigeria,1990-12-12,NIG-MOSEVICT-19901212
John Obi Mikel,Nigeria,1987-04-22,NIG-MIKEJOHN-19870422
Shola Ameobi,Nigeria,1981-10-12,NIG-AMEOSHOL-19811012
Celestine Babayaro,Nigeria,1978-08-29,NIG-BABACELE-19780829
Uche Nwofor,Nigeria,1991-09-17,NIG-NWOFUCHE-19910917
Brian Idowu,Nigeria,1992-05-18,NIG-IDOWBRIA-19920518
Mobi Oparaku,Nigeria,1976-12-01,NIG-OPARMOBI-19761201
Danny Shittu,Nigeria,1980-09-02,NIG-SHITDANN-19800902
Mutiu Adepoju,Nigeria,1970-12-22,NIG-ADEPMUTI-19701222
Taribo West,Nigeria,1974-03-26,NIG-WESTTARI-19740326
John Ogu,Nigeria,1988-04-20,NIG-OGUJOHN-19880420
Godwin Okpara,Nigeria,1972-09-20,NIG-OKPAGODW-19720920
Wilson Oruma,Nigeria,1976-12-30,NIG-ORUMWILS-19761230
Tijani Babangida,Nigeria,1973-09-25,NIG-BABATIJA-19730925
Willy Okpara,Nigeria,1968-05-07,NIG-OKPAWILL-19680507
Garba Lawal,Nigeria,1974-05-22,NIG-LAWAGARB-19740522
Peter Etebo,Nigeria,1995-11-09,NIG-ETEBPETE-19951109
Dele Aiyenugba,Nigeria,1983-11-20,NIG-AIYEDELE-19831120
Ahmed Musa,Nigeria,1992-10-14,NIG-MUSAAHME-19921014
Azubuike Egwuekwe,Nigeria,1989-07-16,NIG-EGWUAZUB-19890716
Efe Ambrose,Nigeria,1988-10-18,NIG-AMBREFE-19881018
Reuben Gabriel,Nigeria,1990-09-25,NIG-GABRREUB-19900925
Obafemi Martins,Nigeria,1984-10-28,NIG-MARTOBAF-19841028
Brown Ideye,Nigeria,1988-10-10,NIG-IDEYBROW-19881010
Leon Balogun,Nigeria,1988-06-28,NIG-BALOLEON-19880628
William Troost-Ekong,Nigeria,1993-09-01,NIG-TROOWILL-19930901
Wilfred Ndidi,Nigeria,1996-12-16,NIG-NDIDWILF-19961216
Ejike Uzoenyi,Nigeria,1992-03-23,NIG-UZOEEJIK-19920323
Emmanuel Emenike,Nigeria,1987-05-10,NIG-EMENEMMA-19870510
Lee Keun-hak,North Korea,1940-07-07,NOR-KEUNLEE-19400707
Pak Chol-jin,North Korea,1985-09-05,NOR-CHOLPAK-19850905
Pak Doo-ik,North Korea,1942-03-17,NOR-DOO-PAK-19420317
Pak Sung-hyok,North Korea,1990-05-30,NOR-SUNGPAK-19900530
Kim Myong-won,North Korea,1983-07-15,NOR-MYONKIM-19830715
Ri Kwang-hyok,North Korea,1987-08-17,NOR-KWANRI-19870817
Kim Kyong-il,North Korea,1988-12-11,NOR-KYONKIM-19881211
Ri Chol-myong,North Korea,1988-02-18,NOR-CHOLRI-19880218
Im Seung-hwi,North Korea,1946-02-03,NOR-SEUNIM-19460203
Kim Myong-gil,North Korea,1984-10-16,NOR-MYONKIM-19841016
Ryoo Chang-kil,North Korea,1940-11-05,NOR-CHANRYOO-19401105
Kim Yung-kil,North Korea,1944-01-29,NOR-YUNGKIM-19440129
Ke Seung-woon,North Korea,1943-12-26,NOR-SEUNKE-19431226
Nam Song-chol,North Korea,1982-05-07,NOR-SONGNAM-19820507
An Se-bok,North Korea,1946-10-29,NOR-SE-BAN-19461029
Li Chi-an,North Korea,1945-07-07,NOR-CHI-LI-19450707
Kim Bong-hwan,North Korea,1939-07-04,NOR-BONGKIM-19390704
An Yong-hak,North Korea,1978-10-25,NOR-YONGAN-19781025
Kim Yong-jun,North Korea,1983-07-19,NOR-YONGKIM-19830719
Pak Nam-chol II,North Korea,1988-10-03,NOR-IIPAK-19881003
Pak Seung-zin,North Korea,1941-01-11,NOR-SEUNPAK-19410111
Oh Yoon-kyung,North Korea,1941-08-06,NOR-YOONOH-19410806
Kim Seung-Il,North Korea,1945-09-02,NOR-SEUNKIM-19450902
Kim Kum-il,North Korea,1987-10-10,NOR-KUM-KIM-19871010
Choe Kum-chol,North Korea,1987-02-09,NOR-KUM-CHOE-19870209
Yang Seung-kook,North Korea,1944-08-19,NOR-SEUNYANG-19440819
Hong Yong-jo,North Korea,1982-05-22,NOR-YONGHONG-19820522
Ji Yun-nam,North Korea,1976-11-20,NOR-YUN-JI-19761120
Han Bong-zin,North Korea,1945-09-02,NOR-BONGHAN-19450902
Ha Jung-won,North Korea,1942-04-20,NOR-JUNGHA-19420420
Jong Tae-se,North Korea,1984-03-02,NOR-TAE-JONG-19840302
Li Dong-woon,North Korea,1945-07-04,NOR-DONGLI-19450704
An Chol-hyok,North Korea,1987-06-27,NOR-CHOLAN-19870627
Pak Nam-chol I,North Korea,1985-07-02,NOR-IPAK-19850702
Mun In-guk,North Korea,1978-09-29,NOR-IN-GMUN-19780929
Kang Ryong-woon,North Korea,1942-04-25,NOR-RYONKANG-19420425
Ri Jun-il,North Korea,1987-08-24,NOR-JUN-RI-19870824
Cha Jong-hyok,North Korea,1985-09-25,NOR-JONGCHA-19850925
Ri Myong-guk,North Korea,1986-09-09,NOR-MYONRI-19860909
Li Chan-myung,North Korea,1947-01-02,NOR-CHANLI-19470102
Pak Li-sup,North Korea,1944-01-06,NOR-LI-SPAK-19440106
Shin Yung-kyoo,North Korea,1942-03-30,NOR-YUNGSHIN-19420330
Kang Bong-chil,North Korea,1943-11-07,NOR-BONGKANG-19431107
Lim Zoong-sun,North Korea,1943-07-16,NOR-ZOONLIM-19430716
Ri Kwang-chon,North Korea,1985-09-04,NOR-KWANRI-19850904
Dick Keith,Northern Ireland,1933-05-15,NOR-KEITDICK-19330515
Bertie Peacock,Northern Ireland,1928-09-29,NOR-PEACBERT-19280929
Harry Gregg,Northern Ireland,1932-10-27,NOR-GREGHARR-19321027
Billy Bingham,Northern Ireland,1931-08-05,NOR-BINGBILL-19310805
Wilbur Cush,Northern Ireland,1928-06-10,NOR-CUSHWILB-19280610
Sammy McIlroy,Northern Ireland,1954-08-02,NOR-MCILSAMM-19540802
Sammy Nelson,Northern Ireland,1949-04-01,NOR-NELSSAMM-19490401
John McClelland,Northern Ireland,1955-12-07,NOR-MCCLJOHN-19551207
Billy Hamilton,Northern Ireland,1957-05-09,NOR-HAMIBILL-19570509
Danny Blanchflower,Northern Ireland,1926-02-10,NOR-BLANDANN-19260210
Felix Healy,Northern Ireland,1955-09-27,NOR-HEALFELI-19550927
Jimmy McIlroy,Northern Ireland,1931-10-25,NOR-MCILJIMM-19311025
Jim Cleary,Northern Ireland,1956-05-27,NOR-CLEAJIM-19560527
Gerry Armstrong,Northern Ireland,1954-05-23,NOR-ARMSGERR-19540523
George Dunlop,Northern Ireland,1956-01-16,NOR-DUNLGEOR-19560116
Pat Jennings,Northern Ireland,1945-06-12,NOR-JENNPAT-19450612
Jimmy Nicholl,Northern Ireland,1956-02-28,NOR-NICHJIMM-19560228
Mal Donaghy,Northern Ireland,1957-09-13,NOR-DONAMAL-19570913
David McCreery,Northern Ireland,1957-09-16,NOR-MCCRDAVI-19570916
Chris Nicholl,Northern Ireland,1946-10-12,NOR-NICHCHRI-19461012
John O'Neill,Northern Ireland,1958-03-11,NOR-O'NEJOHN-19580311
Noel Brotherston,Northern Ireland,1956-11-18,NOR-BROTNOEL-19561118
Bobby Campbell,Northern Ireland,1956-09-13,NOR-CAMPBOBB-19560913
Norman Whiteside,Northern Ireland,1965-05-07,NOR-WHITNORM-19650507
Martin O'Neill,Northern Ireland,1952-03-01,NOR-O'NEMART-19520301
Alf McMichael,Northern Ireland,1927-10-01,NOR-MCMIALF-19271001
Tommy Cassidy,Northern Ireland,1950-11-18,NOR-CASSTOMM-19501118
Jim Platt,Northern Ireland,1952-01-26,NOR-PLATJIM-19520126
Tommy Finney,Northern Ireland,1952-11-06,NOR-FINNTOMM-19521106
Billy Simpson,Northern Ireland,1929-12-12,NOR-SIMPBILL-19291212
Johnny Jameson,Northern Ireland,1958-03-11,NOR-JAMEJOHN-19580311
Tommy Casey,Northern Ireland,1930-03-11,NOR-CASETOMM-19300311
Jackie Scott,Northern Ireland,1933-12-22,NOR-SCOTJACK-19331222
Jim Platt,Northern Ireland,1951-01-26,NOR-PLATJIM-19510126
Philip Hughes,Northern Ireland,1964-11-19,NOR-HUGHPHIL-19641119
Nigel Worthington,Northern Ireland,1961-11-04,NOR-WORTNIGE-19611104
Derek Dougan,Northern Ireland,1938-01-20,NOR-DOUGDERE-19380120
Fay Coyle,Northern Ireland,1933-04-01,NOR-COYLFAY-19330401
Roy Rea,Northern Ireland,1934-11-28,NOR-REAROY-19341128
Len Graham,Northern Ireland,1925-10-17,NOR-GRAHLEN-19251017
Sammy McCrory,Northern Ireland,1924-10-11,NOR-MCCRSAMM-19241011
Bernard McNally,Northern Ireland,1963-02-17,NOR-MCNABERN-19630217
Colin Clarke,Northern Ireland,1962-10-30,NOR-CLARCOLI-19621030
Norman Uprichard,Northern Ireland,1928-04-20,NOR-UPRINORM-19280420
Tommy Hamill,Northern Ireland,1933-07-10,NOR-HAMITOMM-19330710
Willie Cunningham,Northern Ireland,1930-02-20,NOR-CUNNWILL-19300220
Peter McParland,Northern Ireland,1934-04-25,NOR-MCPAPETE-19340425
Mark Caughey,Northern Ireland,1960-08-31,NOR-CAUGMARK-19600831
Sammy Chapman,Northern Ireland,1938-02-16,NOR-CHAPSAMM-19380216
David Campbell,Northern Ireland,1965-06-02,NOR-CAMPDAVI-19650602
Paul Ramsey,Northern Ireland,1962-09-03,NOR-RAMSPAUL-19620903
Jimmy Nicholl,Northern Ireland,1956-12-28,NOR-NICHJIMM-19561228
Alan McDonald,Northern Ireland,1963-10-12,NOR-MCDOALAN-19631012
Steve Penney,Northern Ireland,1964-01-16,NOR-PENNSTEV-19640116
Jimmy Quinn,Northern Ireland,1959-11-18,NOR-QUINJIMM-19591118
Ian Stewart,Northern Ireland,1961-09-10,NOR-STEWIAN-19610910
Bobby Trainor,Northern Ireland,1934-04-25,NOR-TRAIBOBB-19340425
Alfie Haaland,Norway,1972-11-23,NOR-HAALALFI-19721123
Dan Eggen,Norway,1970-01-13,NOR-EGGEDAN-19700113
Erik Hoftun,Norway,1969-03-03,NOR-HOFTERIK-19690303
Roger Nilsen,Norway,1969-08-08,NOR-NILSROGE-19690808
Jan Age Fjørtoft,Norway,1967-01-10,NOR-FJØRJAN-19670110
Ola By Rise,Norway,1960-11-14,NOR-RISEOLA-19601114
Frode Grodas,Norway,1964-10-24,NOR-GRODFROD-19641024
Mini Jakobsen,Norway,1965-11-08,NOR-JAKOMINI-19651108
Kjetil Rekdal,Norway,1968-11-06,NOR-REKDKJET-19681106
Roar Strand,Norway,1970-02-02,NOR-STRAROAR-19700202
Sverre Nordby,Norway,1910-03-13,NOR-NORDSVER-19100313
Henning Berg,Norway,1969-09-01,NOR-BERGHENN-19690901
Gunnar Andreassen,Norway,1913-01-05,NOR-ANDRGUNN-19130105
Lars Bohinen,Norway,1969-09-08,NOR-BOHILARS-19690908
Sverre Berglie,Norway,1910-10-21,NOR-BERGSVER-19101021
Alf Martinsen,Norway,1911-12-29,NOR-MARTALF-19111229
Anker Kihle,Norway,1917-04-19,NOR-KIHLANKE-19170419
Sigurd Hansen,Norway,1913-06-23,NOR-HANSSIGU-19130623
Oddmund Andersen,Norway,1915-12-21,NOR-ANDEODDM-19151221
Karl Petter Løken,Norway,1966-08-14,NOR-LØKEKARL-19660814
Egil Østenstad,Norway,1972-01-02,NOR-ØSTEEGIL-19720102
Havard Flo,Norway,1970-04-04,NOR-FLOHAVA-19700404
Ole Gunnar Solskjær,Norway,1973-02-26,NOR-SOLSOLE-19730226
Vidar Riseth,Norway,1972-04-21,NOR-RISEVIDA-19720421
Øyvind Leonhardsen,Norway,1970-08-17,NOR-LEONØYVI-19700817
Sigurd Rushfeldt,Norway,1972-12-11,NOR-RUSHSIGU-19721211
Erik Mykland,Norway,1971-07-21,NOR-MYKLERIK-19710721
Gøran Sørloth,Norway,1962-07-16,NOR-SØRLGØRA-19620716
Stig Inge Bjørnebye,Norway,1969-12-11,NOR-BJØRSTIG-19691211
Jostein Flo,Norway,1964-10-03,NOR-FLOJOST-19641003
Ronny Johnsen,Norway,1969-06-10,NOR-JOHNRONN-19690610
Stale Solbakken,Norway,1968-02-27,NOR-SOLBSTAL-19680227
Tore Andre Flo,Norway,1973-06-15,NOR-FLOTORE-19730615
Thomas Myhre,Norway,1973-10-16,NOR-MYHRTHOM-19731016
Espen Baardsen,Norway,1977-12-07,NOR-BAARESPE-19771207
Reidar Kvammen,Norway,1914-07-23,NOR-KVAMREID-19140723
Jørgen Juve,Norway,1906-11-22,NOR-JUVEJØRG-19061122
Rolf Holmberg,Norway,1914-08-24,NOR-HOLMROLF-19140824
Rolf Johannessen,Norway,1910-03-15,NOR-JOHAROLF-19100315
Knut Brynildsen,Norway,1917-07-23,NOR-BRYNKNUT-19170723
Magnar Isaksen,Norway,1910-10-13,NOR-ISAKMAGN-19101013
Arne Brustad,Norway,1912-04-14,NOR-BRUSARNE-19120414
Nils Eriksen,Norway,1911-03-05,NOR-ERIKNILS-19110305
Rune Bratseth,Norway,1961-03-19,NOR-BRATRUNE-19610319
Arne Ileby,Norway,1913-12-02,NOR-ILEBARNE-19131202
Gunnar Halle,Norway,1965-08-11,NOR-HALLGUNN-19650811
Erik Thorstvedt,Norway,1962-10-28,NOR-THORERIK-19621028
Roald Amundsen,Norway,1913-09-18,NOR-AMUNROAL-19130918
Hjalmar Andresen,Norway,1914-07-18,NOR-ANDRHJAL-19140718
Erland Johnsen,Norway,1967-04-05,NOR-JOHNERLA-19670405
Kristian Henriksen,Norway,1911-03-03,NOR-HENRKRIS-19110303
Øivind Holmsen,Norway,1912-04-28,NOR-HOLMØIVI-19120428
Vegard Heggem,Norway,1975-07-13,NOR-HEGGVEGA-19750713
Odd Frantzen,Norway,1913-01-20,NOR-FRANODD-19130120
Henry Johansen,Norway,1904-07-21,NOR-JOHAHENR-19040721
Valentin Pimentel,Panama,1991-05-30,PAN-PIMEVALE-19910530
Abdiel Arroyo,Panama,1993-12-13,PAN-ARROABDI-19931213
Armando Cooper,Panama,1987-11-26,PAN-COOPARMA-19871126
Ismael Diaz,Panama,1997-05-12,PAN-DIAZISMA-19970512
Gabriel Torres,Panama,1988-10-31,PAN-TORRGABR-19881031
Adolfo Machado,Panama,1985-02-14,PAN-MACHADOL-19850214
Jaime Penedo,Panama,1981-09-26,PAN-PENEJAIM-19810926
Yoel Barcenas,Panama,1993-10-23,PAN-BARCYOEL-19931023
Jose Calderon,Panama,1985-08-14,PAN-CALDJOSE-19850814
Felipe Baloy,Panama,1981-02-24,PAN-BALOFELI-19810224
Eric Davis,Panama,1991-03-31,PAN-DAVIERIC-19910331
Blas Perez,Panama,1981-03-13,PAN-PEREBLAS-19810313
Jose Luis Rodriguez,Panama,1998-06-19,PAN-RODRJOSE-19980619
Alex Rodriguez,Panama,1990-08-05,PAN-RODRALEX-19900805
Gabriel Gomez,Panama,1984-05-29,PAN-GOMEGABR-19840529
Roman Torres,Panama,1986-03-20,PAN-TORRROMA-19860320
Harold Cummings,Panama,1992-03-01,PAN-CUMMHARO-19920301
Luis Ovalle,Panama,1988-09-07,PAN-OVALLUIS-19880907
Fidel Escobar,Panama,1995-01-09,PAN-ESCOFIDE-19950109
Ricardo Avila,Panama,1997-02-04,PAN-AVILRICA-19970204
Anibal Godoy,Panama,1990-02-10,PAN-GODOANIB-19900210
Michael Amir Murillo,Panama,1996-02-11,PAN-MURIMICH-19960211
Luis Tejada,Panama,1982-03-28,PAN-TEJALUIS-19820328
Marcelino Vargas,Paraguay,1921-01-01,PAR-VARGMARC-19210101
Derlis Gomez,Paraguay,1972-11-02,PAR-GOMEDERL-19721102
Edgar Barreto,Paraguay,1984-07-15,PAR-BARREDGA-19840715
Salvador Cabanas,Paraguay,1980-08-05,PAR-CABASALV-19800805
Casiano Cespedes,Paraguay,1924-01-01,PAR-CESPCASI-19240101
Delio Toledo,Paraguay,1976-10-02,PAR-TOLEDELI-19761002
Leongino Unzaim,Paraguay,1925-05-16,PAR-UNZALEON-19250516
Cesar Lopez Fretes,Paraguay,1923-03-21,PAR-FRETCESA-19230321
Dario Jara Saguier,Paraguay,1930-01-27,PAR-SAGUDARI-19300127
Elioro Paredes,Paraguay,1921-06-19,PAR-PAREELIO-19210619
Hilarion Osorio,Paraguay,1928-10-21,PAR-OSORHILA-19281021
Paulo da Silva,Paraguay,1980-02-01,PAR-SILVPAUL-19800201
Atilio Lopez,Paraguay,1925-02-05,PAR-LOPEATIL-19250205
Victoriano Leguizamon,Paraguay,1922-03-23,PAR-LEGUVICT-19220323
